DateTime,electricity_hourly_diff,heating_hourly_diff,is_holiday,day_of_week,hour_of_day,is_working_hour,number_of_people,Temperature,Humidity,Dewpoint,Sun Duration,Precipitation Height,Wind Speed,Wind Direction,indoor_temperature,temperature_difference
2022-01-01 00:00:00,0.0,0.0,1.0,5.0,0.0,0.0,0.0,13.2,85.0,10.7,0.0,0.0,5.0,240.0,13.2,0.0
2022-01-01 01:00:00,5.057500000111759,20.0,1.0,5.0,1.0,0.0,0.0,13.1,87.0,11.0,0.0,0.0,4.8,240.0,13.1,0.0
2022-01-01 02:00:00,4.955000000074506,19.75,1.0,5.0,2.0,0.0,0.0,12.8,88.0,11.0,0.0,0.0,4.5,230.0,12.8,0.0
2022-01-01 03:00:00,5.029999999795109,19.25,1.0,5.0,3.0,0.0,0.0,12.6,88.0,10.7,0.0,0.0,4.4,210.0,12.6,0.0
2022-01-01 04:00:00,6.330000000074506,20.0,1.0,5.0,4.0,0.0,0.0,12.6,86.0,10.3,0.0,0.0,4.0,220.0,12.6,0.0
2022-01-01 05:00:00,7.007500000065193,19.25,1.0,5.0,5.0,0.0,0.0,13.0,84.0,10.4,0.0,0.0,5.1,210.0,13.0,0.0
2022-01-01 06:00:00,6.96999999997206,19.75,1.0,5.0,6.0,0.0,0.0,12.7,84.0,10.2,0.0,0.0,4.5,210.0,12.7,0.0
2022-01-01 07:00:00,7.03249999997206,19.5,1.0,5.0,7.0,0.0,0.0,12.9,81.0,9.8,0.0,0.0,4.3,200.0,12.9,0.0
2022-01-01 08:00:00,6.912499999860302,19.75,1.0,5.0,8.0,0.0,0.0,12.6,82.0,9.6,0.0,0.0,4.2,190.0,12.6,0.0
2022-01-01 09:00:00,6.2625000001862645,19.75,1.0,5.0,9.0,0.0,0.0,12.9,80.0,9.5,0.0,0.0,3.8,190.0,12.9,0.0
2022-01-01 10:00:00,6.024999999906868,19.25,1.0,5.0,10.0,0.0,0.0,13.5,77.0,9.6,0.0,0.0,3.7,180.0,13.5,0.0
2022-01-01 11:00:00,5.962499999906868,19.75,1.0,5.0,11.0,0.0,0.0,14.2,74.0,9.7,2.0,0.0,5.1,170.0,14.2,0.0
2022-01-01 12:00:00,5.972500000149012,19.5,1.0,5.0,12.0,0.0,0.0,14.3,73.0,9.6,2.0,0.0,6.1,170.0,14.3,0.0
2022-01-01 13:00:00,6.015000000130385,19.5,1.0,5.0,13.0,0.0,0.0,14.6,73.0,9.9,34.0,0.0,6.0,170.0,14.6,0.0
2022-01-01 14:00:00,6.092499999795109,19.0,1.0,5.0,14.0,0.0,0.0,14.4,75.0,10.0,1.0,0.0,5.6,170.0,14.4,0.0
2022-01-01 15:00:00,5.9850000001024455,19.25,1.0,5.0,15.0,0.0,0.0,13.8,78.0,10.0,5.0,0.0,5.5,160.0,13.8,0.0
2022-01-01 16:00:00,5.96750000002794,19.25,1.0,5.0,16.0,0.0,0.0,13.1,80.0,9.8,0.0,0.0,4.4,160.0,13.1,0.0
2022-01-01 17:00:00,6.512499999953434,19.0,1.0,5.0,17.0,0.0,0.0,12.6,82.0,9.6,0.0,0.0,4.9,150.0,12.6,0.0
2022-01-01 18:00:00,6.945000000065193,19.5,1.0,5.0,18.0,0.0,0.0,11.9,86.0,9.6,0.0,0.0,5.7,150.0,11.9,0.0
2022-01-01 19:00:00,7.007499999832362,19.0,1.0,5.0,19.0,0.0,0.0,11.7,86.0,9.5,0.0,0.0,5.8,150.0,11.7,0.0
2022-01-01 20:00:00,7.0,19.0,1.0,5.0,20.0,0.0,0.0,11.7,86.0,9.5,0.0,0.0,6.7,160.0,11.7,0.0
2022-01-01 21:00:00,5.740000000223517,19.0,1.0,5.0,21.0,0.0,0.0,11.4,87.0,9.4,0.0,0.0,6.4,150.0,11.4,0.0
2022-01-01 22:00:00,5.044999999925494,19.0,1.0,5.0,22.0,0.0,0.0,11.2,88.0,9.2,0.0,0.0,7.4,150.0,11.2,0.0
